gene_ko,RNA_ID,Monomer_ID,Process,KO_index
galU,EG11319_RNA,GLUC1PURIDYLTRANS-MONOMER,Metabolism,1280
ribD,EG11321_RNA,RIBOFLAVINSYNDEAM-MONOMER,Metabolism,1282
ribE,EG11322_RNA,LUMAZINESYN-MONOMER,Metabolism,1283
ubiH,EG11324_RNA,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,Metabolism,1285
acnA,EG11325_RNA,ACONITASE-MONOMER,Metabolism,1286
codA,EG11326_RNA,CYTDEAM-MONOMER,Metabolism,1287
codB,EG11327_RNA,CODB-MONOMER,Metabolism,1288
gabD,EG11329_RNA,SUCCSEMIALDDEHYDROG-MONOMER,Metabolism,1290
gabP,EG11330_RNA,GABP-MONOMER,Metabolism,1291
ribA,EG11331_RNA,GTP-CYCLOHYDRO-II-MONOMER,Metabolism,1292
upp,EG11332_RNA,URACIL-PRIBOSYLTRANS-MONOMER,Metabolism,1293
ubiI,EG11333_RNA,EG11333-MONOMER,Metabolism,1294
ligB,EG11334_RNA,EG11334-MONOMER,Metabolism,1295
nadR,EG11335_RNA,PD04413,Metabolism,1296
lysP,EG11337_RNA,LYSP-MONOMER,Metabolism,1298
waaG,EG11339_RNA,EG11339-MONOMER,Metabolism,1300
waaP,EG11340_RNA,EG11340-MONOMER,Metabolism,1301
waaQ,EG11341_RNA,EG11341-MONOMER,Metabolism,1302
mdtG,EG11343_RNA,YCEE-MONOMER,Metabolism,1304
mnmA,EG11344_RNA,EG11344-MONOMER,Metabolism,1305
waaB,EG11351_RNA,EG11351-MONOMER,Metabolism,1310
waaO,EG11352_RNA,EG11352-MONOMER,Metabolism,1311
waaJ,EG11353_RNA,EG11353-MONOMER,Metabolism,1312
emrA,EG11354_RNA,EG11354-MONOMER,Metabolism,1313
murA,EG11358_RNA,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,Metabolism,1317
gspO,EG11359_RNA,EG11359-MONOMER,Metabolism,1318
gluQ,EG11362_RNA,EG11362-MONOMER,Metabolism,1321
menB,EG11368_RNA,NAPHTHOATE-SYN-MONOMER,Metabolism,1326
ubiC,EG11369_RNA,CHORPYRLY-MONOMER,Metabolism,1327
ubiA,EG11370_RNA,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,Metabolism,1328
